Date,Open,High,Low,Close,Adj Close,Volume
5/18/2012,42.04999924,45,38,38.22999954,38.08451462,573576400
5/21/2012,36.52999878,36.65999985,33,34.02999878,33.90050125,168192700
5/22/2012,32.61000061,33.59000015,30.94000053,31,30.88203239,101786600
5/23/2012,31.37000084,32.5,31.36000061,32,31.87822723,73600000
5/24/2012,32.95000076,33.20999908,31.77000046,33.02999878,32.90430832,50237200
5/25/2012,32.90000153,32.95000076,31.11000061,31.90999985,31.7885704,37149800
5/29/2012,31.47999954,31.69000053,28.64999962,28.84000015,28.73025322,78063400
5/30/2012,28.70000076,29.54999924,27.86000061,28.19000053,28.08272552,57267900
5/31/2012,28.54999924,29.67000008,26.82999992,29.60000038,29.48736,111639200
6/1/2012,28.88999939,29.14999962,27.38999939,27.71999931,27.6145153,41855500
6/4/2012,27.20000076,27.64999962,26.44000053,26.89999962,26.79763412,35230300
6/5/2012,26.70000076,27.76000023,25.75,25.87000084,25.77155495,42473400
6/6/2012,26.06999969,27.17000008,25.52000046,26.80999947,26.70797539,61489200
6/7/2012,27,27.35000038,26.14999962,26.30999947,26.20987892,26159500
6/8/2012,26.54999924,27.76000023,26.44000053,27.10000038,26.99687195,38034000
6/11/2012,27.18000031,28.06999969,26.84000015,27.01000023,26.90721512,28219600
6/12/2012,27.47999954,27.77000046,26.95999908,27.39999962,27.2957325,15816800
6/13/2012,27.65999985,28.10000038,27.10000038,27.27000046,27.16622925,17102800
6/14/2012,27.64999962,28.31999969,27.37999916,28.29000092,28.18234634,16855000
6/15/2012,28.51000023,30.10000038,28.35000038,30.01000023,29.89579964,43563800
6/18/2012,29.95999908,32.08000183,29.40999985,31.40999985,31.29047394,42978900
6/19/2012,31.54000092,32.18000031,30.70000076,31.90999985,31.7885704,30849000
6/20/2012,31.92000008,31.93000031,31.14999962,31.60000038,31.47975159,15553600
6/21/2012,31.67000008,32.5,31.51000023,31.84000015,31.71883583,21875300
6/22/2012,32.40999985,33.45000076,32.06000137,33.04999924,32.9242363,74834000
6/25/2012,32.86000061,33.02000046,31.54999924,32.06000137,31.93800163,24352900
6/26/2012,32.68999863,33.43999863,32.5,33.09999847,32.97404099,24858700
6/27/2012,32.45999908,32.90000153,31.89999962,32.22999954,32.10735321,28568000
6/28/2012,31.95999908,32.18999863,30.89999962,31.36000061,31.24066353,17713300
6/29/2012,31.92000008,31.98999977,30.76000023,31.10000038,30.98165321,19526900
7/2/2012,31.25,31.72999954,30.54999924,30.77000046,30.65290833,14122000
7/3/2012,30.90999985,31.44000053,30.79999924,31.20000076,31.08127403,8763600
7/5/2012,31.31999969,31.62999916,31.02000046,31.46999931,31.35024452,10032100
7/6/2012,31.44000053,31.89999962,31.26000023,31.72999954,31.60925293,10945600
7/9/2012,32.09999847,32.88000107,31.98999977,32.16999817,32.04758072,17785200
7/10/2012,32.43000031,32.47999954,31.15999985,31.46999931,31.35024452,14269500
7/11/2012,31.47999954,31.55999947,30.54999924,30.96999931,30.85214806,13030300
7/12/2012,30.70000076,31.39999962,30.60000038,30.80999947,30.69275475,11300700
7/13/2012,31.04000092,31.06999969,30.55999947,30.71999931,30.60309792,8108300
7/16/2012,30.5,30.5,28.20999908,28.25,28.14249802,24672100
7/17/2012,28.47999954,28.59000015,27.14999962,28.09000015,27.98310852,30438600
7/18/2012,28.30999947,29.29000092,28.14999962,29.11000061,28.99922562,16841800
7/19/2012,29.40999985,29.5,28.62999916,29,28.88964272,13685100
